Org Code,Attendance Rate,Average # of days absent,Absent 10 or more days,Chronically Absent (10% or more),Year,Retention Rate
00440110,93.1,11.8,48.5,23.8,2015,0.5
04930505,62.4,41.4,82.6,85.8,2015,21.1
03070305,96.4,6.3,21.6,4.4,2015,0.0
01490017,95.7,7.2,26.1,11.2,2015,0.8
03080005,96.3,6.2,20.7,6.7,2015,0.5
01490048,95.4,7.5,28.9,9.5,2015,0.8
00350180,92.4,12.9,47.6,28.0,2015,3.4
03310305,95.6,7.8,29.3,9.8,2015,0.0
01490003,92.8,10.4,44.7,26.4,2015,0.0
03320040,97.5,4.4,11.4,1.3,2015,0.9
03170005,96.8,5.7,15.2,1.8,2015,0.0
07750027,96.2,6.8,24.0,3.3,2015,0.3
03300010,95.2,8.4,32.2,7.8,2015,0.0
06400505,95.6,8.2,26.9,8.3,2015,0.7
00490320,95.3,7.9,26.9,10.1,2015,0.3
02070070,95.6,7.6,29.6,9.4,2015,0.0
02770415,89.6,17.3,56.1,36.3,2015,1.7
02650015,96.6,5.8,17.6,4.1,2015,0.3
07670008,95.5,7.8,28.1,8.7,2015,0.0
01820305,94.2,10.2,37.7,13.3,2015,1.5
02480520,73.3,38.4,89.5,86.5,2015,49.0
02420020,94.0,9.9,50.8,17.7,2015,0.0
08100605,95.8,7.2,24.8,5.4,2015,0.1
06800305,95.6,7.7,28.6,8.9,2015,0.0
01600036,95.7,7.4,29.0,9.4,2015,0.5
02130020,96.4,6.1,19.4,4.7,2015,0.0
03080060,96.2,6.5,20.4,7.2,2015,0.0
00480303,96.0,7.1,23.5,7.0,2015,0.0
02900005,96.7,5.8,17.6,4.6,2015,0.3
08520605,96.4,6.1,16.8,5.8,2015,1.0
01670003,93.4,9.9,23.3,17.2,2015,0.0
01970005,94.8,8.9,36.4,11.0,2015,0.3
01710020,96.4,6.4,20.0,2.8,2015,0.0
01220004,96.0,7.0,25.9,3.7,2015,0.7
02740111,96.2,6.6,25.0,4.9,2015,0.0
00880025,96.2,6.6,21.9,3.9,2015,0.1
04840505,93.9,10.6,43.2,18.8,2015,6.2
07750001,9.8,#####,93.5,95.2,2015,0.0
00350382,95.5,7.9,26.9,10.1,2015,1.2
02070055,96.0,7.0,22.8,4.2,2015,0.3
03420060,96.4,6.4,21.6,5.6,2015,0.0
01490002,94.9,7.8,31.7,15.1,2015,0.0
01590025,96.2,6.8,23.7,6.4,2015,0.0
01000055,95.6,7.3,27.3,8.4,2015,0.0
02100505,94.5,9.7,32.9,13.3,2015,2.7
03480423,94.6,9.3,35.0,14.5,2015,1.5
04470205,96.8,5.7,17.8,2.9,2015,0.0
01850090,96.1,6.8,22.7,6.4,2015,0.0
02810570,66.1,38.6,75.6,74.1,2015,39.1
00350226,92.9,11.5,46.4,25.4,2015,0.7
03160505,92.8,12.3,39.8,22.3,2015,5.2
35020405,94.8,8.4,33.9,10.8,2015,10.1
01740010,95.7,7.6,28.1,9.2,2015,0.6
00350122,93.9,9.7,37.6,19.4,2015,7.2
02480025,94.9,8.5,31.7,13.5,2015,1.6
02520510,94.2,10.0,35.5,15.3,2015,0.0
00250315,95.8,7.4,26.9,7.1,2015,0.5
01490534,90.8,13.6,49.5,33.0,2015,2.2
02270008,95.5,7.2,24.4,9.5,2015,1.3
00400505,95.0,8.5,31.7,12.8,2015,0.6
